Id,SalePrice
1637,184768
1638,203813
1639,184370
1640,261927
1641,179648
1642,233328
1643,215196
1644,220778
1645,196290
1646,157611
1647,159300
1648,134760
1649,141264
1650,116385
1651,121022
1652,96037
1653,96935
1654,155591
1655,145229
1656,147045
1657,152378
1658,148613
1659,133585
1660,149940
1661,431645
1662,451835
1663,389622
1664,400802
1665,316617
1666,304089
1667,361089
1668,334897
1669,304569
1670,359626
1671,252420
1672,468105
1673,295359
1674,244364
1675,190011
1676,191887
1677,219780
1678,495864
1679,383635
1680,345020
1681,263462
1682,289656
1683,174282
1684,164409
1685,171482
1686,167666
1687,163929
1688,184095
1689,188108
1690,183146
1691,177213
1692,270781
1693,167473
1694,183109
1695,165454
1696,276309
1697,171076
1698,370060
1699,322911
1700,256749
1701,257129
1702,255406
1703,241764
1704,290230
1705,232582
1706,424008
1707,226199
1708,210447
1709,318170
1710,220039
1711,248074
1712,251907
1713,263068
1714,233148
1715,212207
1716,180097
1717,175831
1718,136840
1719,197936
1720,248968
1721,173709
1722,137454
1723,156884
1724,216334
1725,245370
1726,190429
1727,152625
1728,161623
1729,166808
1730,164547
1731,120102
1732,136038
1733,116856
1734,109684
1735,133172
1736,112427
1737,360729
1738,212713
1739,274777
1740,234749
1741,195151
1742,174929
1743,172366
1744,328076
1745,223476
1746,206666
1747,222357
1748,235250
1749,155267
1750,126254
1751,244618
1752,120832
1753,147491
1754,207778
1755,161934
1756,142645
1757,123344
1758,146787
1759,155077
1760,168356
1761,148133
1762,185138
1763,179756
1764,123187
1765,154973
1766,169027
1767,212549
1768,147609
1769,179762
1770,144163
1771,137358
1772,142099
1773,135418
1774,132347
1775,138926
1776,125463
1777,113739
1778,141621
1779,120060
1780,171003
1781,137806
1782,97509
1783,135219
1784,105019
1785,128027
1786,157066
1787,156777
1788,55189
1789,110211
1790,77393
1791,188773
1792,158520
1793,129781
1794,150452
1795,130858
1796,122695
1797,111683
1798,127778
1799,115612
1800,153685
1801,125605
1802,136741
1803,147540
1804,142507
1805,138592
1806,112797
1807,135527
1808,128453
1809,118097
1810,148615
1811,92408
1812,101292
1813,127234
1814,108416
1815,53893
1816,97232
1817,109682
1818,149233
1819,127808
1820,34389
1821,113838
1822,148463
1823,38321
1824,137022
1825,129350
1826,110653
1827,105723
1828,141833
1829,118175
1830,141963
1831,170734
1832,66930
1833,141194
1834,119294
1835,141476
1836,123913
1837,90940
1838,128992
1839,87216
1840,172397
1841,142256
1842,80877
1843,132930
1844,140792
1845,137838
1846,150236
1847,162573
1848,56206
1849,113681
1850,119316
1851,156320
1852,130562
1853,133584
1854,169098
1855,129567
1856,216121
1857,139106
1858,137553
1859,122802
1860,150914
1861,122590
1862,309277
1863,305757
1864,305757
1865,341845
1866,347085
1867,244144
1868,311869
1869,202137
1870,239938
1871,253860
1872,169698
1873,228222
1874,142690
1875,203530
1876,202639
1877,219609
1878,205416
1879,135124
1880,134580
1881,232003
1882,242725
1883,188754
1884,206704
1885,235533
1886,310128
1887,207076
1888,269974
1889,162006
1890,126525
1891,133676
1892,105727
1893,130303
1894,132519
1895,129997
1896,125290
1897,116065
1898,110053
1899,159065
1900,153789
1901,168725
1902,144956
1903,221526
1904,155614
1905,194681
1906,166850
1907,200184
1908,111527
1909,139997
1910,122439
1911,237559
1912,338799
1913,156576
1914,56671
1915,324011
1916,64166
1917,258253
1918,139453
1919,166663
1920,125676
1921,447955
1922,340717
1923,217238
1924,226135
1925,208884
1926,394918
1927,139084
1928,158524
1929,123163
1930,133995
1931,142135
1932,135726
1933,182405
1934,179699
1935,177689
1936,192367
1937,188334
1938,177628
1939,247702
1940,182040
1941,177320
1942,187422
1943,210356
1944,351372
1945,406047
1946,130284
1947,353092
1948,187393
1949,241462
1950,178408
1951,266110
1952,211405
1953,171574
1954,188931
1955,130995
1956,292681
1957,154610
1958,278839
1959,132819
1960,118670
1961,124492
1962,96292
1963,107968
1964,109791
1965,146167
1966,143685
1967,289987
1968,427092
1969,409951
1970,458738
1971,452849
1972,390743
1973,263846
1974,322883
1975,465533
1976,265505
1977,352948
1978,391569
1979,337269
1980,191401
1981,356418
1982,232723
1983,216054
1984,164644
1985,219804
1986,211346
1987,179900
1988,175501
1989,188629
1990,215775
1991,240105
1992,216223
1993,160418
1994,238555
1995,184768
1996,244518
1997,317919
1998,376049
1999,273043
2000,312264
2001,260992
2002,238736
2003,244071
2004,270818
2005,224850
2006,239567
2007,238961
2008,224479
2009,194664
2010,193428
2011,145267
2012,173183
2013,184238
2014,186227
2015,206121
2016,193259
2017,196817
2018,123006
2019,135222
2020,106690
2021,108474
2022,178983
2023,133713
2024,231332
2025,362776
2026,170816
2027,154800
2028,152703
2029,173196
2030,279191
2031,252802
2032,273548
2033,274670
2034,166213
2035,212683
2036,192463
2037,193442
2038,332209
2039,245676
2040,348154
2041,278079
2042,203478
2043,169994
2044,174481
2045,210382
2046,142627
2047,144862
2048,138715
2049,135183
2050,181837
2051,112944
2052,131689
2053,147864
2054,80352
2055,163334
2056,136311
2057,118698
2058,220120
2059,136743
2060,171294
2061,180339
2062,131858
2063,111562
2064,141216
2065,127252
2066,167328
2067,120157
2068,114690
2069,87697
2070,114893
2071,94415
2072,112414
2073,138432
2074,183929
2075,145829
2076,121755
2077,156510
2078,130272
2079,133139
2080,116811
2081,122927
2082,127540
2083,143211
2084,111229
2085,121464
2086,127065
2087,118449
2088,95003
2089,71815
2090,129962
2091,128862
2092,129148
2093,126550
2094,124410
2095,152626
2096,79890
2097,96422
2098,144809
2099,58935
2100,83658
2101,128546
2102,121479
2103,100624
2104,123176
2105,127235
2106,73205
2107,228060
2108,112160
2109,112300
2110,133287
2111,137420
2112,140100
2113,121755
2114,107238
2115,164982
2116,126807
2117,151214
2118,124469
2119,96061
2120,125119
2121,98949
2122,108556
2123,85594
2124,172190
2125,116804
2126,148372
2127,150508
2128,124953
2129,101819
2130,142625
2131,152047
2132,116314
2133,120576
2134,121836
2135,100000
2136,68748
2137,117671
2138,133785
2139,157922
2140,140850
2141,142380
2142,129563
2143,147427
2144,123974
2145,136405
2146,166553
2147,117981
2148,129590
2149,152515
2150,220119
2151,116591
2152,182904
2153,178951
2154,108872
2155,133875
2156,252455
2157,228130
2158,243512
2159,210630
2160,169853
2161,233762
2162,386446
2163,351548
2164,250402
2165,190411
2166,149628
2167,221227
2168,205595
2169,195618
2170,223904
2171,151851
2172,133576
2173,179841
2174,231626
2175,318499
2176,314328
2177,248527
2178,199592
2179,138519
2180,214138
2181,186353
2182,219397
2183,190941
2184,121742
2185,95275
2186,138752
2187,154470
2188,154670
2189,198481
2190,82712
2191,81884
2192,94397
2193,115064
2194,101991
2195,112286
2196,106846
2197,118680
2198,162128
2199,170381
2200,149072
2201,142275
2202,217671
2203,149651
2204,190652
2205,111143
2206,142924
2207,216504
2208,276294
2209,217551
2210,125231
2211,122133
2212,116473
2213,110028
2214,124577
2215,109469
2216,154884
2217,98220
2218,52722
2219,72918
2220,53883
2221,323181
2222,263256
2223,275164
2224,205964
2225,109280
2226,182566
2227,197648
2228,263119
2229,240993
2230,159871
2231,212971
2232,184317
2233,163711
2234,246887
2235,231719
2236,275486
2237,346883
2238,208218
2239,97737
2240,159834
2241,159761
2242,122458
2243,122733
2244,103491
2245,109736
2246,149594
2247,108565
2248,127070
2249,124961
2250,132126
2251,116855
2252,171082
2253,158832
2254,183015
2255,188556
2256,184963
2257,215209
2258,168966
2259,177005
2260,168302
2261,187187
2262,215121
2263,350510
2264,404910
2265,186346
2266,337484
2267,366788
2268,392810
2269,150260
2270,184061
2271,230361
2272,192534
2273,160669
2274,170369
2275,189294
2276,188624
2277,183019
2278,147392
2279,135562
2280,129979
2281,165040
2282,183562
2283,102988
2284,118000
2285,150435
2286,122904
2287,349468
2288,283100
2289,402228
2290,460807
2291,333478
2292,425559
2293,468091
2294,445603
2295,428077
2296,267974
2297,310123
2298,316370
2299,404925
2300,352596
2301,275035
2302,241742
2303,243852
2304,250136
2305,187359
2306,180798
2307,188080
2308,214477
2309,278257
2310,224538
2311,200554
2312,176505
2313,173343
2314,171681
2315,180052
2316,180378
2317,181630
2318,178739
2319,175627
2320,189129
2321,236384
2322,170545
2323,179963
2324,168023
2325,208259
2326,163397
2327,214591
2328,230091
2329,188012
2330,173584
2331,353615
2332,404076
2333,315127
2334,264182
2335,255097
2336,326272
2337,206126
2338,283441
2339,195091
2340,407732
2341,208854
2342,225912
2343,220754
2344,222493
2345,237266
2346,222332
2347,203533
2348,232777
2349,174429
2350,294072
2351,247749
2352,244128
2353,239530
2354,137188
2355,152517
2356,156248
2357,188650
2358,191360
2359,129739
2360,118163
2361,144730
2362,273508
2363,139367
2364,159120
2365,217808
2366,194245
2367,220483
2368,224400
2369,208759
2370,174220
2371,171015
2372,195314
2373,278040
2374,327784
2375,269479
2376,276918
2377,366269
2378,137653
2379,201087
2380,144415
2381,162263
2382,195334
2383,197003
2384,245201
2385,159753
2386,135078
2387,137560
2388,94754
2389,126335
2390,149319
2391,146997
2392,115902
2393,166880
2394,148015
2395,213241
2396,136382
2397,213524
2398,132910
2399,58239
2400,54164
2401,106630
2402,142380
2403,139352
2404,146753
2405,158333
2406,144953
2407,125585
2408,142791
2409,123355
2410,152805
2411,120162
2412,156910
2413,132601
2414,149399
2415,137158
2416,134014
2417,122146
2418,131407
2419,124713
2420,124230
2421,150334
2422,120464
2423,126552
2424,148034
2425,198269
2426,126611
2427,137517
2428,172517
2429,112064
2430,130770
2431,109130
2432,147066
2433,148932
2434,144024
2435,151083
2436,108901
2437,109080
2438,128684
2439,108558
2440,116373
2441,91881
2442,99457
2443,119244
2444,126712
2445,79659
2446,124146
2447,180721
2448,134548
2449,103141
2450,141555
2451,120915
2452,211607
2453,89268
2454,126377
2455,123840
2456,133223
2457,132120
2458,121355
2459,107374
2460,142234
2461,113108
2462,137081
2463,128960
2464,168133
2465,135266
2466,114686
2467,140402
2468,74463
2469,71493
2470,177940
2471,221075
2472,154646
2473,126475
2474,81034
2475,223700
2476,116097
2477,127841
2478,156735
2479,104058
2480,155779
2481,120682
2482,125994
2483,110959
2484,122696
2485,127711
2486,155771
2487,187898
2488,159375
2489,146726
2490,145793
2491,94529
2492,178286
2493,145580
2494,147009
2495,84794
2496,228085
2497,145675
2498,108494
2499,99412
2500,125571
2501,142657
2502,148494
2503,89022
2504,178704
2505,224429
2506,251216
2507,300816
2508,250840
2509,213375
2510,213820
2511,173673
2512,208957
2513,214004
2514,250645
2515,153450
2516,166609
2517,141445
2518,155337
2519,231381
2520,211011
2521,188980
2522,227618
2523,129506
2524,142811
2525,148571
2526,139476
2527,110861
2528,129020
2529,141020
2530,117362
2531,251671
2532,228659
2533,194977
2534,224779
2535,314842
2536,235772
2537,239523
2538,180728
2539,180450
2540,175211
2541,175100
2542,164629
2543,126322
2544,122809
2545,129850
2546,120915
2547,143637
2548,154197
2549,161951
2550,338528
2551,138007
2552,123060
2553,73650
2554,105423
2555,123330
2556,98753
2557,97928
2558,161326
2559,141810
2560,144065
2561,149323
2562,141607
2563,151522
2564,195374
2565,152538
2566,158450
2567,134549
2568,199425
2569,202128
2570,122978
2571,195861
2572,169120
2573,212753
2574,273840
2575,137407
2576,120278
2577,158534
2578,79366
2579,66012
2580,114076
2581,94501
2582,90255
2583,268561
2584,166781
2585,178795
2586,213145
2587,200455
2588,149841
2589,148169
2590,212413
2591,203182
2592,211587
2593,261405
2594,180224
2595,202301
2596,320343
2597,183264
2598,281320
2599,321254
2600,214557
2601,152718
2602,76852
2603,102732
2604,85305
2605,67099
2606,147408
2607,182380
2608,189103
2609,169095
2610,115964
2611,115510
2612,154032
2613,133764
2614,125881
2615,150531
2616,141308
2617,177635
2618,197605
2619,200044
2620,185953
2621,179112
2622,182718
2623,250576
2624,295841
2625,337812
2626,169143
2627,170726
2628,463604
2629,622076
2630,396036
2631,472305
2632,434219
2633,358951
2634,395507
2635,152882
2636,176537
2637,181338
2638,268794
2639,191659
2640,149898
2641,98942
2642,190351
2643,100791
2644,119155
2645,103278
2646,93863
2647,104044
2648,144329
2649,150519
2650,143952
2651,145063
2652,409268
2653,231876
2654,254662
2655,408110
2656,329577
2657,336699
2658,286653
2659,324564
2660,351005
2661,371782
2662,361383
2663,268915
2664,269239
2665,332329
2666,297592
2667,170501
2668,177793
2669,177267
2670,285046
2671,183083
2672,192031
2673,208783
2674,209978
2675,174179
2676,184583
2677,198788
2678,253977
2679,275527
2680,277970
2681,416690
2682,346825
2683,545220
2684,320694
2685,353019
2686,242797
2687,337767
2688,219729
2689,213747
2690,466554
2691,190534
2692,131929
2693,194889
2694,142310
2695,190270
2696,180814
2697,188885
2698,181643
2699,169899
2700,153382
2701,136064
2702,107633
2703,129989
2704,144846
2705,117943
2706,112359
2707,128358
2708,134958
2709,114346
2710,127173
2711,288613
2712,385287
2713,165316
2714,150475
2715,170977
2716,140751
2717,182568
2718,230845
2719,152826
2720,173652
2721,137839
2722,161363
2723,144960
2724,129842
2725,137404
2726,145422
2727,181279
2728,162025
2729,154126
2730,144087
2731,132094
2732,127631
2733,153875
2734,145167
2735,138612
2736,136816
2737,124587
2738,130421
2739,157723
2740,137992
2741,161445
2742,147583
2743,145507
2744,156988
2745,143235
2746,137563
2747,149381
2748,126440
2749,130864
2750,133895
2751,136913
2752,198346
2753,156436
2754,217365
2755,125166
2756,102470
2757,62481
2758,80948
2759,160178
2760,125826
2761,143487
2762,144231
2763,184049
2764,147719
2765,283375
2766,132424
2767,86221
2768,138806
2769,136526
2770,142902
2771,110151
2772,112900
2773,162931
2774,136345
2775,115133
2776,135439
2777,139399
2778,114128
2779,116347
2780,93707
2781,98624
2782,89025
2783,106465
2784,125426
2785,134953
2786,72794
2787,126101
2788,70988
2789,193164
2790,96021
2791,114645
2792,42144
2793,169718
2794,110459
2795,121035
2796,102733
2797,193823
2798,109855
2799,112855
2800,59435
2801,115658
2802,141767
2803,165311
2804,138780
2805,105184
2806,75805
2807,164167
2808,149700
2809,134488
2810,132977
2811,148943
2812,152175
2813,182275
2814,160548
2815,107800
2816,237414
2817,148998
2818,132773
2819,166368
2820,134091
2821,99292
2822,196504
2823,255301
2824,177568
2825,157119
2826,129964
2827,135167
2828,212056
2829,179466
2830,234158
2831,175392
2832,238809
2833,292089
2834,215296
2835,213512
2836,184558
2837,160867
2838,148814
2839,178945
2840,202591
2841,206174
2842,222379
2843,153279
2844,152800
2845,122039
2846,210858
2847,205849
2848,223812
2849,205232
2850,275182
2851,212581
2852,236555
2853,236703
2854,139920
2855,207305
2856,199629
2857,181683
2858,207544
2859,121870
2860,127412
2861,123088
2862,187382
2863,134822
2864,250875
2865,142337
2866,137820
2867,99433
2868,90911
2869,108734
2870,112335
2871,87119
2872,48906
2873,105923
2874,142156
2875,112283
2876,163883
2877,137960
2878,177275
2879,139553
2880,97585
2881,158812
2882,167366
2883,186184
2884,200322
2885,187098
2886,237789
2887,98609
2888,135581
2889,54485
2890,86304
2891,139685
2892,45229
2893,91041
2894,54511
2895,313443
2896,277119
2897,203841
2898,142699
2899,222504
2900,156509
2901,216777
2902,187841
2903,330875
2904,367669
2905,85366
2906,211129
2907,112842
2908,132395
2909,138698
2910,81690
2911,76073
2912,145983
2913,73086
2914,70997
2915,78350
2916,73006
2917,142549
2918,120579
2919,230219
